name,text,episode,season
SHERIFF TRUMAN,"Laura Palmer.CUT TO:INT. PALMER HOUSE - DAYWe see SARAH PALMER, LAURA'S mother, in her kitchen with a cigarette in hand as she shouts to the upper floor.",1,1
SARAH,Laura. Sweetheart. I'm not going to tell you again.She exhales and speaks softly.,1,1
SARAH,Yes I am. (shouts) Laura!SARAH walks over to the stairs and peers up. The ceiling fan is on.,1,1
SARAH,Laura. For goodness sakes.SARAH goes up the stairs and checks LAURA's bedroom.,1,1
SARAH,Laura. Now means now.Laura's room is empty. SARAH walks over to bathroom.,1,1
SARAH,"Laura. (knocks on door) Laura? Laura honey are you downstairs?SARAH peers into LAURA'S bedroom and finds the bed unmade and the room empty.CUT TO:INT. PALMER HOUSE - DAYWe view a CLOSEUP of the ceiling fan as it revolves.CUT TO:INT. PALMER HOUSE - DAYIn the kitchen, SARAH picks up the phone and starts dialing with a cigarette still in hand.TUNE ENDS: LAURA PALMER'S THEME    CUT TO:INT. BRIGGS HOUSE - DAYMAJOR GARLAND BRIGGS, a plump, bald man dressed in an Air Force uniform, is seated at the kitchen table as his wife BETTY BRIGGS picks up the ringing phone.",1,1
BETTY,Hellooo. (playing with scissors in her hand)CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,Beth it's Sarah. Listen I just went up to wake Laura and she's not here. Is she with Bobby?CUT TO:INT. BRIGGS HOUSE - DAY,1,1
BETTY,Well she could be. He leaves every morning at five to go running and then he goes to football practice.CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,(nervous) Can you ... umm ... find out? Can ... can you reach him? I'll ... I'll call the school.CUT TO:INT. BRIGGS HOUSE - DAY,1,1
BETTY,Just a minute I got the number to the field office here.CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,Thanks. Thanks Beth. You know I'm wondering if maybe she went out with Leland he had an early meeting.CUT TO:INT. BRIGGS HOUSE - DAY,1,1
BETTY,"Oh, I'm sure that's it. Either that or she's with Bobby.CUT TO:INT. PALMER HOUSE - DAY",1,1
SARAH,"Sure. I'll ... I'll call up to the hotel, thanks.SARAH hangs up the phone.CUT TO:INT. BRIGGS HOUSE - DAYBETTY shows some concern as she hangs up the phone.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYFootball coach MAX HARTMAN answers SARAH's questions from a phone inside the boy's locker room.",1,1
MAX,"No, Bobby hasn't shown up for practice yet today. Come to think of it, as a matter of fact, he's been late every day this week Mrs. Palmer. And last week and maybe even the week before...MAX hangs up the phone and shrugs after being rudely cut off.CUT TO:INT. PALMER HOUSE - DAYWe see SARAH with a disturbed look on her face. She dials another number on the telephone.CUT TO:EXT. GREAT NORTHERN HOTEL- DAYWe view the front of the hotel and the waterfall.CUT TO:EXT. GREAT NORTHERN HOTEL - DAYTUNE: AUDREY'S DANCEAUDREY HORNE, a young and very pretty brunette, approaches a car that is to chauffeur her to school. As she takes a seat we view a CLOSEUP of her shoes as the driver closes the door behind her.TUNE ENDS: AUDREY'S DANCECUT TO:INT. GREAT NORTHERN HOTEL - DAYBeside a roaring fire, BENJAMIN HORNE, a tall man with curly black hair, is talking business with LELAND PALMER, LAURA'S father, who is seated on a couch in front of the fire.",1,1
BENJAMIN,Are they ready to sign?,1,1
LELAND,Are you not even going to mention that we have not as yet acquired access to the Packard land?BENJAMIN hocks a loogey and spits it into the fire causing it to spark and crackle. LELAND turns away at the sight of this.,1,1
BENJAMIN,"Sorry. (clears his throat) We have solid information. The Packard Saw Mill is going to go belly up within a year. We are going to able to get it for a song, one verse no chorus. Now let's get out there and get those cheese eaters where they live.",1,1
LELAND,"Uhhh, Benjamin.CUT TO:INT. GREAT NORTHERN HOTEL - DAYBENJAMIN HORNE is animatedly speaking to Norwegian businessmen. Sitting beside him is a translator that is interpreting his selling speech.",1,1
BENJAMIN,"Clean, wholesome environment much like your very own. (translator speaks) With a quality of life to rival the very best. (translations) That this country has to offer and that is what the Ghostwood Country Club and Estates will be. Now, when I first spoke to Sven he was naturally very concerned about the quality of air. If you permit me Sven (motioning to SVEN JORGENSON) to repeat what you told me after your run, 'my air sacks (Ben breathes in deeply and pounds his chest on the exhale) have never felt so good.'After the translation the crowd laughs.JULIE, a hotel employee, approaches LELAND and whispers.",1,1
JULIE,Your wife's on the phone again. She says its urgent.In the background the translator is speaking to the crowd in Norwegian and again the crowd laughs.,1,1
LELAND,Excuse me a moment gentlemen. I'll be right back.,1,1
BENJAMIN,"(whispered to Leland) Make it snappy huh. (to the group) So, here in Twin Peaks health and industry go hand in hand. (translation)CUT TO:INT. GREAT NORTHERN HOTEL - DAYLELAND is led by JULIE to a phone in a different room.",1,1
JULIE,I'll transfer you to the health spa.,1,1
LELAND,"Ok, thank you.TUNE: LAURA PALMER'S THEME    The telephone rings and LELAND picks up the receiver. LELANDSarah, what is it?",1,1
SARAH,(over the phone) Is Laura with you?,1,1
LELAND,"No, why?",1,1
SARAH,(over the phone) She didn't go with you this morning?Outside the window behind LELAND we see SHERIFF TRUMAN'S police cruiser parking. LELAND does not notice it.,1,1
LELAND,"No. What's ... honey, what's wrong? What's this all about.CUT TO:INT. PALMER HOUSE - DAY",1,1
SARAH,She's not here. She wasn't here this morning.CUT TO:INT. GREAT NORTHERN HOTEL - DAY,1,1
LELAND,Well she's ... umm ... probably with Bobby.CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,I can't find Bobby.CUT TO:INT. GREAT NORTHERN HOTEL- DAY,1,1
LELAND,Well then there you are ... that's it. Let's not worry I mean ... they're probably together. (finally notices SHERIFF TRUMAN as he enters the room)CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,But she would've left a note. Why didn't she leave me a note? She would've told me.CUT TO:INT. GREAT NORTHERN HOTEL - DAY,1,1
LELAND,"Honey, honey, honey take it easy please, please.SHERIFF TRUMAN walks up to JULIE'S counter and asks her...",1,1
SHERIFF TRUMAN,I'm looking for Leland Palmer.,1,1
JULIE,He's right over there on the phone.,1,1
LELAND,"Sheriff Truman. (speaking slightly into the phone with a growing, concerned look)CUT TO:INT. PALMER HOUSE - DAY",1,1
SARAH,What? Who? What did you say? (starts to tear) Oh my god.CUT TO:INT. GREAT NORTHERN - DAYLELAND puts the phone to his chest as SHERIFF TRUMAN comes toward him.,1,1
SARAH,(over the phone) Oh my god. Oh ... my god. Laura. No.CUT TO:INT. PALMER HOUSE - DAY,1,1
SARAH,Laura. Oh Leland please where is it? Tell me.CUT TO:INT. GREAT NORTHERN HOTEL - DAY,1,1
SHERIFF TRUMAN,Leland.,1,1
LELAND,Is this about Laura? (he has the phone mouth and ear piece against his chest),1,1
SHERIFF TRUMAN,I'm afraid it is.LELAND lets out a sigh.,1,1
SARAH,(over the phone) Leland ... tell me. Oh ... my ... baby.LELAND drops the phone and begins to cry.CUT TO:INT. PALMER HOUSE - DAYSARAH hears the phone crash to the floor.,1,1
SARAH,No! (cries) Ohhh! Noooo!CUT TO:INT. GREAT NORTHERN HOTEL - DAY,1,1
SHERIFF TRUMAN,Okay?,1,1
BENJAMIN,(unaware of the situation) Leland we're ready to go with the contracts. (finally catches on) Leland. What's wrong?,1,1
LELAND,"(in tears) My daughter is dead.CUT TO:INT. GREAT NORTHERN HOTEL - DAYWe view a CLOSEUP on the phone. We PAN to follow the phone cord to the receiver lying on the floor with the cries from SARAH emanating from it.CUT TO:INT. PALMER HOUSE - DAYSARAH tugs at her hair and shrieks in grief.TUNE ENDS: LAURA PALMER'S THEME    FADE OUT:FADE IN:EXT. DOUBLE R DINER - DAYWe watch a car pull up to a parking spot at the diner and see HEIDI, a stocky woman dressed in a waitress uniform, get out.CUT TO:INT. DOUBLE R DINER - DAYHEIDI enters the diner. Behind the counter, we see SHELLY JOHNSON, a thin and beautiful brunette. Next to her is NORMA JENNINGS, the owner of the diner. Sitting near SHELLY at the counter is BOBBY BRIGGS, wearing a black leather jacket.",1,1
SHELLY,What kept you Heidi? Seconds on knockwurst this morning?,1,1
HEIDI,(with a German accent) I ... I couldn't get my car started,1,1
SHELLY,"To busy jump starting the old man, huh.HEIDI produces a silly and odd giggle.",1,1
BOBBY,I thought you Germans were always on time.HEIDI continues to giggle.,1,1
NORMA,I thought the only time you cared about Bobby was making time.,1,1
BOBBY,You heading out Shelly.,1,1
SHELLY,"Yeah, I'm heading home.",1,1
BOBBY,"I'm going to practice. I can drop you by your place on the way.SHELLY looks at NORMA. NORMA is already looking at her, studying her expression.",1,1
SHELLY,That'd be great thanks.BOBBY pays in loose change tossed on the counter. On the way out he approaches the jukebox.,1,1
BOBBY,"Here's a tune for you gals. (places a coin in the jukebox) Okay, Norma. (points to NORMA) I'll see you in my dreams.",1,1
NORMA,Not if I see you first.,1,1
BOBBY,Don't do anything I wouldn't do.As he leaves out the door the jukebox plays a tune very loudly.TUNE: I'm Hurt Bad   42KCUT TO:EXT. DOUBLE R DINER - DAYThe tune on the jukebox can still be heard but not as loudly as BOBBY and SHELLY enter BOBBY'S car.,1,1
BOBBY,I think she knows about us.,1,1
SHELLY,"Norma? (BOBBY nods) No, fat chance. I think she hot to trot for you herself.The two look deeply into each other eyes and then nervously peer around to see if anyone is watching, then they kiss.TUNE ENDS: I'm Hurt Bad   42KCUT TO:EXT. ROAD TO JOHNSON'S HOUSE - DAYBOBBY and SHELLY watch a police car past them at high speed with its siren on. After the cop car passes SHELLY takes a drink from a flask.TUNE: AUDREY'S DANCE",1,1
SHELLY,It's happy hour in France. Come on cowboy light your fire.,1,1
BOBBY,Your right. (sarcastically) Just a little pick me up before home room.,1,1
SHELLY,I thought I was your little pick me up.SHELLY moves the flask to BOBBY lips so that he can take a drink.,1,1
BOBBY,(laughs) Ha. Baby your more like a three stage rocket. A pocket rocket.,1,1
SHELLY,And what stage are we in now?,1,1
BOBBY,Are you sure that your old man is still on the road?,1,1
SHELLY,"Yes, he called me last night from Butte. That's a long ways away and he ain't got a phone in his truck. So quit worrying and start scurrying mister touchdown.TUNE ENDS: AUDREY'S DANCEBOBBY'S eyes widen and he slams on the brakes as he sees LEO JOHNSON'S rig parked next to the house.",1,1
BOBBY,Butte!,1,1
SHELLY,Backup.BOBBY immediately backs up the car and again slams his brakes.,1,1
SHELLY,"I'll call you later.SHELLY exits the car and BOBBY turns his car around and peels out as he drives off.CUT TO:INT. CALHOUN MEMORIAL HOSPITAL - DAYSHERIFF TRUMAN escorts LELAND up a long corridor of the hospital. They come upon DR. HAYWARD, who is waiting just outside the examining room.DR. HAYWARDLeland I'm so sorry.",1,1
LELAND,Seventeen years old.DR. HAYWARD gives LELAND a hug.,1,1
SHERIFF TRUMAN,Leland I hate to put you through this.,1,1
LELAND,"No, I have to see her. I have to see what was done to my little girl.",1,1
SHERIFF TRUMAN,Okay.SHERIFF TRUMAN and LELAND enter the dark examining room where the body is covered with a sheet. The sheet is pulled back and the table light is turned on. LELAND cries at the sight of his daughter.,1,1
LELAND,My baby. That's my little girl. God ... God ...,1,1
SHERIFF TRUMAN,"Let's get out of here.CUT TO:INT. CALHOUN MEMORIAL HOSPITAL - DAYWe view a CLOSEUP of LAURA PALMER'S face.CUT TO:EXT. WOODS - DAYWe view a CLOSEUP of a pine tree being blown in the wind.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYTUNE: AUDREY'S DANCEWe see kids walking around to their lockers and to their classes. All appears normal. DONNA HAYWARD is approaching her locker. As she opens it, she notices AUDREY at her locker. AUDREY is changing her shoes to red pumps and then lights a cigarette. DONNA and AUDREY exchange smiles. In the background a school bell rings as DONNA is attending to her locker. JAMES HURLEY, a friend of her's dressed in black jeans and a black leather jacket, walks up to her.",1,1
JAMES,Have you seen Laura?,1,1
DONNA,No. Not yet.,1,1
JAMES,Nice day for a picnic. (smiles),1,1
DONNA,"Oh yeah. (smiles)DONNA closes her locker and walks off to class. In the hall background, kids are scrambling to class but one kid can be seen doing an odd dance as he moves away from his locker.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYBOBBY has just entered the building. We see two girls huddled together talking. One of them says ...HIGH SCHOOL GIRLBobby Briggs they're looking for you.",1,1
BOBBY,Who is?HIGH SCHOOL GIRLSheriff.,1,1
BOBBY,"Well here I am in school.BOBBY raises his arms and makes a crowd cheering-like sound. He slowly walks over to his friend MIKE NELSON, who is leaning against a wall in the hallway.",1,1
BOBBY,Hey snake.,1,1
MIKE,Hey man. Something's up.,1,1
BOBBY,(jokingly looks up). Where?,1,1
MIKE,You think I'm kidding.,1,1
BOBBY,"What, me worry.From behind BOBBY a MRS. JACKSON, the principal's secretary, calls out.MRS. JACKSONBobby, your wanted in the office.BOBBY turns his head around toward the voice and answers...",1,1
BOBBY,Who wants me in the office.MRS. JACKSONRight now young man!,1,1
MIKE,(whispers to BOBBY) Watch out.,1,1
BOBBY,"Ohh.BOBBY slowly moves in half-steps, a mock jog, toward the office.TUNE ENDS: AUDREY'S DANCECUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe FOCUS on AUDREY'S red pumps and then PAN up to her face and then view the whole room. A teacher, MS. ALICE BRADY, is taking roll.",1,1
ALICE,Terry Franklin.,1,1
TERRY,Here.,1,1
ALICE,Martha Grimes.,1,1
MARTHA,Here.,1,1
ALICE,Donna Hayward.,1,1
DONNA,Here.,1,1
ALICE,Audrey Horne.,1,1
AUDREY,Here.,1,1
ALICE,James Hurley.,1,1
JAMES,Yo.A POLICE OFFICER appears at the door and catches ALICE'S attention.,1,1
POLICE OFFICER,Excuse me? Room 106?,1,1
ALICE,Uh-hmm. (and a nod),1,1
POLICE OFFICER,Is their a Bobby Briggs in this class room?,1,1
ALICE,"No, he's in 107. (looks to class for verification) 107 (and nods).",1,1
POLICE OFFICER,Could I speak to you for a moment please?,1,1
ALICE,Certainly.ALICE and the POLICE OFFICER huddle to a conversation. A second POLICE OFFICER #2 enters the room and talks to the POLICE OFFICER. A girl screams. We get a view outside through a window in the room and see that girl running as she screams.,1,1
POLICE OFFICER,"(slightly muffled, spoken only to ALICE) There'll be an announcement. Thank you for your time.DONNA and JAMES look at each other and then to LAURA'S empty desk. They both have a look of shock in their eyes. DONNA grabs her hand and begins to cry.",1,1
DONNA,(whispered) Laura.,1,1
ALICE,"(slight tremble) There'll be an announcement from the principal.JAMES is so shocked he snaps a pencil in his hand with his thumb. DONNA cries uncontrollably. AUDREY appears to have no concern but shows a slight interest in it all.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYIn the principal's office, BOBBY is seated at a round table next to DEPUTY ANDY and DEPUTY TOMMY 'HAWK' HILL. SHERIFF TRUMAN and MRS. JACKSON enter the room.",1,1
BOBBY,I told you. I got up early like I always do. I went running like I always do. I went for some breakfast at the Double R and I didn't go to practice because I didn't feel like it. (quickly slaps his hands to the table and then snaps his fingers)TUNE: AUDREY'S DANCE,1,1
HAWK,Why didn't you feel like it Bobby? Were you upset about something?,1,1
ANDY,Something troubling you Bobby? You want to tell us about it?,1,1
BOBBY,"(sighs) Look you guys. Please, what did I do? What's going on?MRS. JACKSONMr. Wolchezk there's rumors all over school. Maybe its best that they heard it from you.",1,1
SHERIFF TRUMAN,Mr. Wolchezk why don't you go ahead and make that announcement.MR. WOLCHEZKNow?,1,1
SHERIFF TRUMAN,Now's the time.MR. WOLCHEZKExcuse me. (leaves the room),1,1
BOBBY,What is it sheriff? What's going on?TUNE ENDS: AUDREY'S DANCE,1,1
SHERIFF TRUMAN,(sits down next to BOBBY) Now Bobby you look at me. Your girlfriend Laura Palmer's been killed. She was found just after dawn. Now she was with you last night and you weren't where you were supposed to be this morning. Have these fellas advised you of your rights?,1,1
BOBBY,"(in a slight shock) Yes, but I didn't know why. Laura's dead?",1,1
SHERIFF TRUMAN,Yes. Did you understand your rights as they were explained to you?,1,1
BOBBY,(surprised and annoyed) You think ... I killed her.,1,1
SHERIFF TRUMAN,"Bobby we're gonna have you make a phone call. You can call your parents and they can arrange to get a lawyer to be with you when we talk to you again. Andy, get Bobby out to make his call.",1,1
BOBBY,(stands up) I loved her ... and she loved me! You think because I wasn't at football practice that I killed my girlfriend. You are crazy! (ANDY grabs him) You get off me.TUNE: LAURA PALMER'S THEME    BOBBY struggles to free himself of ANDY'S grip but SHERIFF TRUMAN also grabs BOBBY and holds him. BOBBY stops struggling.,1,1
SHERIFF TRUMAN,"Bobby we're gonna talk about this later.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYThe principal of the school MR. WOLCHEZK sits next to the microphone for the school's intercom system.MR. WOLCHEZKMay I have your attention please. This is principal Wolchezk. I am deeply saddened to have to tell you that early this morning your classmate Laura Palmer was found dead. This is a terrible moment for all of us.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe PAN a view of an empty school hallway.MR. WOLCHEZK(over the intercom) For all of us who knew her.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe see DONNA crying and JAMES in shock and teary eyed.MR. WOLCHEZK(over the intercom) Her friends, her family. It is very important that we all try to help each other through this difficult time.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe watch MR. WOLCHEZK as he speaks.MR. WOLCHEZKThe police have asked me to ask each of you if you have any information about Laura's activities after school yesterday or yesterday evening. Please come forward. I am dismissing all classes for the day but before we leave I would like to ask each of you to join me in a moment of silence for Laura and her dear memory.He shuts off intercom and uncontrollably begins to sob.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe see DONNA crying and being consoled by several friends. James is still in shock and teary eyed.CUT TO:INT. TWIN PEAKS HIGH SCHOOL - DAYWe view a CLOSEUP on LAURA PALMER'S homecoming picture in the school trophy case.TUNE ENDS: LAURA PALMER'S THEME    FADE OUT:FADE IN:INT. PALMER HOUSE - DAYWe view a CLOSEUP of a photograph of LAURA PALMER.CUT TO:INT. PALMER HOUSE - DAYSARAH is crying on the couch but quiets down as a sedative given by DR. HAYWARD calms her down. SHERIFF TRUMAN is also in the room waiting for SARAH to calm down. DEPUTY ANDY is standing in the background.DR. HAYWARDYou can talk to her now Harry.DR. HEYWARD sits beside SARAH and holds her arm.",1,1
SHERIFF TRUMAN,"Do you know what time it was when you last saw Laura, Mrs. Palmer?",1,1
SARAH,What time?,1,1
SHERIFF TRUMAN,Yes.,1,1
SARAH,"Uhh, it would have been about nine. Yes, nine ... o'clock ... pm. She came home from Bobby's (becomes emotional) and she was going up the stairs. (more emotional) Those stairs, right there.She looks at the stairs, then to the ceiling and hears footsteps; the ceiling fan is revolving.",1,1
SARAH,Who's up stairs?,1,1
SHERIFF TRUMAN,Your husband and one of my men.,1,1
SARAH,"(sigh) I can tell from the sounds that it isn't her. (grimaces with tears)CUT TO:INT. PALMER HOUSE - DAYUpstairs in LAURA'S bedroom, we see DEPUTY HAWK looking over her possessions. LELAND is seated on LAURA'S bed with a pillow in his lap. DEPUTY HAWK lifts a book up, looks it over and then asks LELAND...",1,1
HAWK,Her diary?,1,1
LELAND,(looks at the book) Uhmm. (nods yes).,1,1
HAWK,"Do you know where the key to this is, sir?",1,1
LELAND,(shakes his head for no) Do you have to take that?,1,1
HAWK,"We'll return it as soon as possible.HAWK places the diary in a box. Next, he opens a box on LAURA's desk. He finds and takes out a video camera.CUT TO:INT. PALMER HOUSE - DAYSARAH is sitting back on the couch in her living room, calmed down by the sedative. SHERIFF TRUMAN sits by her. DEPUTY ANDY and DR. HAYWARD stand in the background.",1,1
SHERIFF TRUMAN,Did she say anything to you?,1,1
SARAH,"(deep breathe) She said good night. And I said ... (grimace) good... good night ... sweet ... sweetheart.A telephone rings in the background. SHERIFF TRUMAN nods to ANDY to get the phone. ANDY goes to another room, out of sight, to answer it.",1,1
SHERIFF TRUMAN,"Mrs. Palmer, can you remember, did she make or receive any phone calls?",1,1
SARAH,I heard her phone ring ... once.,1,1
SHERIFF TRUMAN,About what time was that?,1,1
SARAH,(cries) I don't know who it was.,1,1
ANDY,(returns back) Harry.SHERIFF TRUMAN stands up and walks over to ANDY.,1,1
ANDY,"That was Lucy. Got a call from a guy that works up at the mill. Janek Pulaski. Says his daughter didn't come home last night and she didn't show up at school today either.CUT TO:INT. PACKARD SAW MILL - DAYWe view several machines at work as they process timber.CUT TO:EXT. PACKARD SAW MILL - DAYWe see a bird's eye view of the mill.CUT TO:INT. PACKARD SAW MILL - DAYIn the accounting office inside the mill, PETE MARTELL is seated at a desk doing some paperwork.",1,1
PETE,"Two by fours and four by eights. Two by fours and four by eights. Two by fours and four by eights.Suddenly, PETE is distracted by the yelling of CATHERINE.CUT TO:INT. PACKARD SAW MILL - DAYOutside the office but still inside the mill building, JOSIE and CATHERINE are making their way to the office.",1,1
CATHERINE,Do you hear me! You can't do that to my workers. Don't walk away from me like that! Come on back here! Your not going anywhere and your not going to tell anybody anything.JOSIE and CATHERINE enter the office. JOSIE turns around to face CATHERINE and says...,1,1
JOSIE,"Catherine, I'm sorry if this offends you but I am the owner of this saw mill.",1,1
CATHERINE,And you don't know the first thing about this mill. That's why I'm running it.,1,1
JOSIE,I've never taken this authority before but maybe I should have.,1,1
CATHERINE,Your not shutting us down.,1,1
JOSIE,"Catherine, I have the final say-so. Peter push the plug.",1,1
CATHERINE,"Pete, don't you dare.PETE has been watching the confrontation between both women.",1,1
PETE,"Oh, Catherine. Please (walks over to the phone, picks it up) Shorty, tell the boys to pull the plug. (response) That's right.A whistle sounds and machines start to power down. JOSIE moves over to the mill intercom microphone. CATHERINE leaves the office.",1,1
JOSIE,"May I have your attention. This is Josie Packard.CUT TO:INT. PACKARD SAW MILL - DAYOutside the office but still inside the mill building, CATHERINE is walking down the stairs from the office. JOSIE can be heard over the intercom.",1,1
JOSIE,"I've decided today, in the light of what has happened, all work here will stop.",1,1
CATHERINE,Bitch.,1,1
JOSIE,"This morning, as you know, the body of Miss Laura Palmer ...CATHERINE stops near the bottom of the stairs and looks at a nearby MILL WORKER, who is looking back at her.",1,1
CATHERINE,What's your name?,1,1
JOSIE,(over the speakers) ... was found ...,1,1
MILL WORKER,Fred Korat.,1,1
JOSIE,(over the speakers)... near our dock.,1,1
CATHERINE,Your fired.CUT TO:INT. PACKARD SAW MILL - DAYWe see MR. PULASKI being escorted to a police car by a cop.,1,1
JOSIE,"(over the speakers) Just now, your coworker and friend Mr. Janek Pulaski has learned that his daughter, one of Laura's schoolmates, is missing since last night.CUT TO:INT. PACKARD SAW MILL - DAYWe view several areas in the mill as workers stand around and listen to JOSIE over the speakers.",1,1
